City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,30,0,3.0,RU,1684027735
1,boone,39.0334,-92.3335,301.62,83,100,2.49,US,1684027469
2,edinburgh of the seven seas,-37.0676,-12.3116,291.1,97,100,9.99,SH,1684027183
3,boke,10.9409,-14.2967,299.02,83,100,1.34,GN,1684027737
4,adamstown,-25.066,-130.1015,296.29,69,100,8.16,PN,1684027043
5,lospalos,-8.5186,127.0025,297.55,70,100,5.07,TL,1684027738
6,port elizabeth,-33.918,25.5701,288.76,99,100,2.24,ZA,1684027738
7,shimoda,34.6667,138.95,293.35,74,100,5.17,JP,1684027739
8,arraial do cabo,-22.9661,-42.0278,294.73,64,99,1.99,BR,1684027739
9,diego de almagro,-26.3667,-70.05,293.2,38,0,0.61,CL,1684027739
10,bredasdorp,-34.5322,20.0403,286.79,74,82,4.96,ZA,1684027740
11,saint-joseph,-21.3667,55.6167,296.36,81,23,2.26,RE,1684027741
12,albany,42.6001,-73.9662,291.73,35,5,3.35,US,1684027485
13,anna regina,7.2644,-58.5077,299.52,84,23,3.8,GY,1684027744
14,invercargill,-46.4,168.35,281.49,95,100,1.34,NZ,1684027745
15,kargil,34.5667,76.1,274.23,62,88,1.61,IN,1684027746
16,tangalle,6.024,80.7911,301.24,84,98,5.99,LK,1684027584
17,puerto natales,-51.7236,-72.4875,279.95,82,100,2.46,CL,1684027748
18,port-aux-francais,-49.35,70.2167,276.64,60,29,4.7,TF,1684027749
19,waitangi,-43.9535,-176.5597,285.83,81,62,0.89,NZ,1684027749
20,pangoa,-12.1167,-73.0,292.71,98,20,0.92,PE,1684027750
21,mount pearl,47.5166,-52.7813,278.07,95,100,9.77,CA,1684027751
22,jamestown,42.097,-79.2353,290.95,48,0,2.57,US,1684027745
23,grytviken,-54.2811,-36.5092,273.03,86,100,3.39,GS,1684027753
24,tsiombe,-25.3,45.4833,292.96,93,52,0.69,MG,1684027754
25,nova vicosa,-17.8919,-39.3719,297.2,79,59,4.19,BR,1684027754
26,hirara,24.8,125.2833,297.3,73,75,3.6,JP,1684027755
27,stanley,54.868,-1.6985,281.22,92,100,1.63,GB,1684027755
28,bethel,41.3712,-73.414,294.32,35,0,0.0,US,1684027756
29,chonchi,-42.6128,-73.8092,287.1,98,100,1.75,CL,1684027756
30,vail,32.0479,-110.712,305.87,12,50,3.58,US,1684027757
31,namibe,-15.1961,12.1522,294.77,78,2,3.37,AO,1684027757
32,praia da vitoria,38.7333,-27.0667,291.35,94,20,2.64,PT,1684027758
33,whistler,50.1164,-122.9695,299.72,18,0,0.0,CA,1684027759
34,west island,-12.1568,96.8225,299.14,94,75,4.63,CC,1684027760
35,uturoa,-16.7333,-151.4333,300.42,71,0,1.19,PF,1684027760
36,yaren,-0.5472,166.916,301.7,79,100,3.33,NR,1684027761
37,yellowknife,62.456,-114.3525,297.44,27,75,4.63,CA,1684027761
38,rethymno,35.3647,24.4714,288.94,59,23,2.22,GR,1684027762
39,port augusta,-32.5,137.7667,293.31,31,8,0.74,AU,1684027580
40,fisterra,42.9049,-9.2629,288.16,82,100,7.62,ES,1684027763
41,enewetak,11.3474,162.3373,300.97,76,12,6.86,MH,1684027764
42,carutapera,-1.195,-46.02,298.67,88,100,2.08,BR,1684027764
43,lae,-6.7221,146.9847,306.52,63,31,1.65,PG,1684027765
44,thompson,55.7435,-97.8558,295.24,23,40,3.6,CA,1684027766
45,puerto ayora,-0.7393,-90.3518,300.12,95,98,2.68,EC,1684027168
46,st. john's,47.5649,-52.7093,278.53,96,100,9.77,CA,1684027576
47,boa vista,2.8197,-60.6733,299.14,89,75,1.54,BR,1684027767
48,avarua,-21.2078,-159.775,300.18,83,75,5.14,CK,1684027768
49,ovruch,51.3246,28.8035,283.47,81,92,1.88,UA,1684027768
50,tymovskoye,50.8456,142.655,293.03,41,18,3.84,RU,1684027769
51,saint-francois,46.4154,3.9054,282.84,93,0,1.54,FR,1684027769
52,ribeira grande,38.5167,-28.7,289.14,87,100,3.58,PT,1684027770
53,mcminnville,45.2101,-123.1987,306.29,27,0,6.17,US,1684027694
54,aitape,-3.1374,142.3475,303.82,66,16,1.12,PG,1684027771
55,blackmans bay,-43.0167,147.3167,285.22,66,88,1.8,AU,1684027772
56,iacu,-12.7672,-40.2117,295.31,92,23,1.08,BR,1684027772
57,new norfolk,-42.7826,147.0587,285.88,66,82,3.13,AU,1684027773
58,papatowai,-46.5619,169.4708,284.63,81,100,2.01,NZ,1684027774
59,linxia chengguanzhen,35.6003,103.2064,289.44,24,1,0.5,CN,1684027774
60,ust-tsilma,65.441,52.1498,272.23,84,98,1.32,RU,1684027775
61,antonio enes,-16.2325,39.9086,296.26,83,0,2.01,MZ,1684027775
62,springs,-26.25,28.4,286.72,92,32,2.25,ZA,1684027776
63,remire-montjoly,4.9167,-52.2667,297.17,100,40,1.54,GF,1684027776
64,waingapu,-9.6567,120.2641,299.9,62,100,5.4,ID,1684027777
65,egilsstadir,65.2653,-14.3948,282.1,66,75,5.66,IS,1684027779
66,tofol,5.3248,163.0078,301.32,79,100,5.07,FM,1684027781
67,bowen,-20.0167,148.2333,298.25,64,97,6.73,AU,1684027782
68,lerwick,60.1545,-1.1494,281.15,92,100,7.45,GB,1684027783
69,kodiak,57.79,-152.4072,278.88,93,100,5.66,US,1684027783
70,salinas,36.6777,-121.6555,305.69,66,0,5.66,US,1684027503
71,tiksi,71.6872,128.8694,264.87,69,73,2.79,RU,1684027784
72,lupane,-18.9315,27.807,289.62,51,67,1.92,ZW,1684027784
73,ilulissat,69.2167,-51.1,271.16,86,100,4.12,GL,1684027785
74,aral,40.5156,81.2636,294.87,8,100,1.55,CN,1684027785
75,hawaiian paradise park,19.5933,-154.9731,298.88,70,75,4.63,US,1684027786
76,anadyr,64.75,177.4833,273.43,93,75,9.0,RU,1684027786
77,mumford,5.2618,-0.759,300.68,84,100,3.69,GH,1684027786
78,ujae,8.9322,165.7642,301.1,83,96,7.7,MH,1684027787
79,inderbor,48.55,51.7833,286.04,60,100,3.07,KZ,1684027787
80,qaisumah,28.3112,46.1273,300.13,32,0,3.09,SA,1684027787
81,atafu village,-8.5421,-172.5159,301.72,77,7,4.63,TK,1684027788
82,elkton,39.6068,-75.8333,291.63,85,99,2.25,US,1684027644
83,utrik,11.2278,169.8474,300.65,81,6,7.42,MH,1684027789
84,saipan,15.1355,145.701,305.54,100,40,5.36,MP,1684027789
85,bataipora,-22.2953,-53.2711,286.75,82,0,1.01,BR,1684027789
86,florence,43.7667,11.25,288.56,81,100,1.78,IT,1684027790
87,okha,53.5739,142.9478,282.31,68,17,1.78,RU,1684027790
88,aasiaat,68.7098,-52.8699,268.84,77,100,3.0,GL,1684027790
89,la ronge,55.1001,-105.2842,296.27,26,40,2.57,CA,1684027791
90,isafjordur,66.0755,-23.124,276.23,97,100,8.31,IS,1684027791
91,olonkinbyen,70.9221,-8.7187,274.08,95,100,5.88,SJ,1684027792
92,mount gambier,-37.8333,140.7667,288.95,53,6,2.97,AU,1684027792
93,pointe aux piments,-20.0628,57.5131,296.46,82,13,3.38,MU,1684027792
94,keflavik,64.0049,-22.5624,279.39,87,100,11.32,IS,1684027793
95,ushuaia,-54.8,-68.3,277.96,81,75,1.54,AR,1684027798
96,chernomorskoye,45.5039,32.6997,286.05,81,100,2.32,UA,1684027799
97,yuzhno-kurilsk,44.0306,145.8556,282.84,83,100,4.76,RU,1684027799
98,greenland,43.0362,-70.8328,291.86,36,20,5.14,US,1684027800
